Skill_Icon_1000	1-Battle-Roar
Skill_Icon_1131	132-Counter-Attack
Skill_Icon_1132	133-Gamble
Skill_Icon_1133	134-Wager
Skill_Icon_1134	135-Bulletproof
Skill_Icon_1135	136-Heart-Rip
Skill_Icon_1136	137-Song1
Skill_Icon_1137	138-Song2
Skill_Icon_1138	139-Song3
Skill_Icon_1139	140-Pyromancy
Skill_Icon_1140	141-Hydromancy
Skill_Icon_1141	142-Geomancy
Skill_Icon_1142	143-Necromancy
Skill_Icon_1143	144-Cryomancy
Skill_Icon_1144	145-Electromancy
Skill_Icon_1145	146-Aeromancy
Skill_Icon_1146	147-Chronomancy
Skill_Icon_1147	148-Dendromancy
Skill_Icon_1148	149-Astromancy
Skill_Icon_1149	150-Phycomancy
